/* DATA DESCRIPTION:
Citation:	Miller, Heinz; Schwager, Matthias (2000): Density of ice core ngt37C95.2 from the North Greenland Traverse. PANGAEA, https://doi.org/10.1594/PANGAEA.57798
1.131	373.0
1.132	368.5
1.133	370.0
1.134	369.9
1.135	368.0
1.136	366.7
1.137	365.6
1.138	363.5
1.139	362.7
1.140	364.0
1.141	364.7
1.142	366.3
1.143	367.9
1.144	365.5
1.145	365.6
1.146	364.1
1.147	357.3
1.148	355.4
1.149	351.2
1.150	353.3
1.151	352.9
1.152	353.5
1.153	349.2
1.154	347.7
1.155	348.8
1.191	353.7
1.192	353.1
1.193	355.1
1.194	356.6
1.195	357.3
1.196	355.8
1.197	355.0
1.198	354.8
1.199	356.0
1.200	355.4
1.201	354.9
1.202	354.1
1.203	359.5
1.204	359.7
1.205	360.7
1.206	359.6
1.207	360.2
1.208	361.8
1.209	360.3
1.210	362.7
1.211	368.5
1.212	370.6
1.213	371.0
1.214	371.1
1.215	370.3
1.216	367.5
1.217	370.3
1.218	372.7
1.219	369.5
1.220	372.2
1.221	372.7
1.222	372.7
1.223	372.6
1.224	374.5
1.225	374.5
1.226	371.4
1.227	372.4
1.228	366.5
1.229	360.2
1.230	356.9
1.231	354.7
1.232	355.3
1.233	357.1
1.234	356.6
1.235	355.9
1.236	353.4
1.237	349.2
1.238	351.6
1.239	349.7
1.240	345.5
1.241	350.0
1.242	355.1
1.243	358.8
1.244	349.5
1.245	344.5
1.246	341.0
1.247	338.1
1.248	335.6
1.249	341.0
1.250	344.1
1.251	347.1
1.252	347.6
1.253	351.8
1.254	353.9
1.255	359.6
1.256	362.1
1.257	365.1
1.258	366.3
1.259	365.8
1.260	366.3
1.261	369.9
1.262	367.8
1.263	365.6
1.264	366.9
1.265	367.0
1.266	363.0
1.267	366.6
1.268	369.4
1.269	367.9
1.270	367.1
1.271	367.1
1.272	366.8
1.273	365.1
1.274	364.0
1.275	360.6
1.276	361.8
1.277	355.8
1.278	357.5
1.279	356.6
1.280	356.2
1.281	356.6
1.282	353.8
1.283	352.3
1.284	353.6
1.285	353.2
1.286	353.9
1.287	355.4
1.288	355.9
1.289	354.9
1.290	354.7
1.291	352.8
1.292	353.2
1.293	357.3
1.294	358.6
1.295	354.9
1.296	353.3
1.297	353.6
1.298	349.6
1.299	349.6
1.300	349.4
1.301	352.0
1.302	351.4
1.303	350.7
1.304	347.4
1.305	343.8
1.306	345.4
1.307	343.3
1.308	345.2
1.309	346.5
1.310	347.3
1.311	346.8
1.312	346.6
1.313	344.4
1.314	345.7
1.315	345.8
1.316	340.6
1.317	339.6
1.318	336.8
1.319	337.9
1.320	338.4
1.321	339.0
1.322	338.2
1.323	340.8
1.324	342.0
1.325	342.7
1.326	339.9
1.327	338.9
1.328	340.9
1.329	339.0
1.330	341.4
1.331	344.4
1.332	345.1
1.333	345.7
1.334	346.3
1.335	347.2
1.336	345.9
1.337	344.5
1.338	347.9
1.339	347.3
1.340	348.6
1.341	347.7
1.342	350.5
1.343	353.1
1.344	353.7
1.345	355.1
1.346	359.7
1.347	366.1
1.348	365.8
1.349	371.8
1.350	381.4
1.351	401.0
1.352	411.0
1.353	400.4
1.354	393.9
1.355	388.3
1.356	384.8
1.357	386.6
1.358	385.5
1.359	383.0
1.360	382.3
1.361	378.4
1.362	369.4
1.363	360.5
1.364	350.5
1.365	346.5
1.366	342.2
1.367	347.4
1.368	347.3
1.369	356.6
1.370	376.2
1.371	397.6
1.372	405.1
1.373	401.8
1.374	408.3
1.375	444.7
1.376	470.0
1.377	440.8
1.378	397.2
1.379	363.4
1.380	349.4
1.381	341.6
1.382	335.3
1.383	331.1
1.384	332.6
1.385	328.5
1.386	323.2
1.387	319.6
1.388	316.5
1.389	317.6
1.390	313.3
1.391	312.2
1.392	311.7
1.393	316.5
1.394	324.1
1.395	322.8
1.396	324.2
1.397	321.6
1.398	318.3
1.399	315.5
1.400	319.8
1.401	321.9
1.402	325.7
1.403	327.6
1.404	333.8
1.405	337.2
1.406	338.2
1.407	337.1
1.408	338.0
1.409	339.9
1.410	342.5
1.411	341.5
1.412	337.9
1.413	334.4
1.414	338.2
1.415	340.2
1.416	345.3
1.417	343.6
1.418	339.0
1.419	336.9
1.420	338.5
1.421	335.2
1.422	336.0
1.423	337.1
1.424	336.6
1.425	337.2
1.426	340.0
1.427	345.2
1.428	347.6
1.429	345.5
1.430	345.3
1.431	346.2
1.432	342.8
1.433	340.4
1.434	334.8
1.435	328.3
1.436	316.4
1.437	309.4
1.438	310.8
1.439	313.4
1.440	315.7
1.441	320.1
1.442	317.3
1.443	312.9
1.444	308.7
1.445	306.2
1.446	303.6
1.447	303.4
1.448	301.5
1.449	304.6
1.450	305.2
1.451	301.7
1.452	308.4
1.453	310.9
1.454	310.9
1.455	311.0
1.456	314.7
1.457	312.3
1.458	313.1
1.459	311.9
1.460	316.8
1.461	320.0
1.462	323.6
1.463	326.5
1.464	328.6
1.465	324.1
1.466	321.3
1.467	320.8
1.468	321.1
1.469	320.5
1.470	322.0
1.471	322.7
1.472	338.3
1.473	365.3
1.474	404.9
1.475	425.1
1.476	404.8
1.477	375.6
1.478	358.7
1.479	352.1
1.480	350.6
1.481	352.8
1.482	354.1
1.483	350.1
1.484	344.0
1.485	344.2
1.486	345.2
1.487	355.0
1.488	365.9
1.489	368.9
1.490	371.4
1.491	368.5
1.492	364.6
1.493	365.6
1.494	366.3
1.495	364.8
1.496	364.4
1.497	364.7
1.498	362.9
1.499	362.7
1.500	364.5
1.501	359.9
1.502	354.3
1.503	350.5
1.504	352.9
1.505	356.2
1.506	361.0
1.507	364.0
1.508	365.9
1.509	364.8
1.510	364.9
1.511	364.9
1.512	363.8
1.525	367.3
1.526	375.6
1.527	381.9
1.528	384.5
1.529	386.7
1.530	387.6
1.531	394.0
1.532	384.7
1.533	375.1
1.534	372.5
1.535	370.4
1.536	368.0
1.537	366.5
1.538	358.6
1.539	351.2
1.540	349.6
1.541	352.0
1.542	349.4
1.543	351.2
1.544	356.8
1.545	359.8
1.546	360.6
1.547	368.6
1.548	378.4
1.549	383.7
1.550	388.3
1.551	387.0
1.552	382.3
1.553	379.9
1.554	371.4
1.555	368.0
1.556	366.9
1.557	369.7
1.558	379.5
1.559	377.8
1.560	378.6
1.561	377.3
1.562	370.2
1.563	369.7
1.564	368.6
1.565	370.5
1.566	370.5
1.567	374.0
1.568	372.3
1.569	372.6
1.570	373.2
1.571	376.0
1.572	376.7
1.573	377.7
1.574	377.7
1.575	378.1
1.576	376.2
1.577	377.8
1.578	378.0
1.579	381.5
1.580	382.0
1.581	385.4
1.582	380.0
1.583	384.3
1.584	383.1
1.585	383.6
1.586	376.7
1.587	369.8
1.588	367.7
1.589	363.0
1.590	363.9
1.591	365.1
1.592	365.7
1.593	368.8
1.594	370.7
1.595	378.2
1.596	384.2
1.597	386.8
1.598	382.8
1.599	383.4
1.600	384.6
1.601	387.3
1.602	390.2
1.603	391.8
1.604	392.6
1.605	391.4
1.606	382.9
1.607	373.9
1.608	354.4
1.609	334.1
1.610	307.9
1.611	291.7
1.612	289.1
1.613	285.8
1.614	278.8
1.615	269.2
1.616	266.6
1.617	269.4
1.618	271.2
1.619	274.8
1.620	281.3
1.621	284.2
1.622	289.7
1.623	298.4
1.624	304.9
1.625	306.6
1.626	310.6
1.627	311.6
1.628	311.5
1.629	312.0
1.630	308.9
1.631	313.6
1.632	316.8
1.633	318.7
1.634	319.0
1.635	315.9
1.636	310.2
1.637	309.2
1.638	307.9
1.639	308.1
1.640	310.4
1.641	308.6
1.642	309.8
1.643	312.5
1.644	320.4
1.645	330.6
1.646	340.1
1.647	339.0
1.648	343.4
1.649	348.6
1.650	356.5
1.651	368.6
1.652	377.8
1.653	385.5
1.654	387.5
1.655	385.9
1.656	383.5
1.657	381.6
1.658	380.0
1.659	378.6
1.660	377.7
1.661	383.0
1.662	379.2
1.663	382.9
1.664	384.0
1.665	380.4
1.666	362.6
1.667	334.6
1.668	317.5
1.669	327.3
1.670	345.7
1.671	358.8
1.672	364.2
1.673	367.8
1.674	372.3
1.675	380.9
1.676	383.6
1.677	385.6
1.678	386.6
1.679	388.1
1.680	389.7
1.681	391.2
1.682	390.4
1.683	395.0
1.684	395.1
1.685	399.5
1.686	399.2
1.687	397.8
1.688	397.0
1.689	399.1
1.690	398.7
1.691	396.7
1.692	395.6
1.693	391.2
1.694	392.7
1.695	391.0
1.696	389.1
1.697	393.3
1.698	395.9
1.699	393.6
1.700	394.4
1.701	393.1
1.702	394.4
1.703	394.7
1.704	398.6
1.705	396.3
1.706	393.7
1.707	395.6
1.708	393.6
1.709	391.9
1.710	393.5
1.711	391.4
1.712	390.8
1.713	387.2
1.714	382.4
1.715	382.4
1.716	383.2
1.717	383.7
1.718	379.4
1.719	380.7
1.720	377.7
1.721	378.5
1.722	378.9
1.723	377.6
1.724	377.9
1.725	375.6
1.726	380.6
1.727	382.6
1.728	381.4
1.729	380.5
1.730	382.5
1.731	381.1
1.732	380.6
1.733	383.0
1.734	383.9
1.735	383.4
1.736	383.2
1.737	385.2
1.738	385.3
1.739	387.0
1.740	388.1
1.741	392.9
1.742	397.6
1.743	401.0
1.744	402.3
1.771	364.7
1.772	367.3
1.773	366.1
1.774	360.8
1.775	360.2
1.776	357.8
1.777	358.2
1.778	359.6
1.779	361.9
1.780	364.0
1.781	355.6
1.782	345.8
1.783	338.7
1.784	334.4
1.785	329.1
1.786	329.9
1.787	329.0
1.788	327.9
1.789	322.2
1.790	323.7
1.791	324.8
1.792	324.7
1.793	327.0
1.794	334.5
1.795	334.7
1.796	337.9
1.797	333.6
1.798	333.1
1.799	332.6
1.800	333.7
1.801	339.6
1.802	335.7
1.803	336.9
1.804	334.9
1.805	331.0
1.806	327.7
1.807	320.2
1.808	319.2
1.809	323.4
1.810	329.5
1.811	341.4
1.812	350.8
1.813	354.5
1.814	360.6
1.815	365.2
1.816	369.7
1.817	378.1
1.818	387.8
1.819	394.3
1.820	402.1
1.821	410.2
1.822	409.0
1.823	403.4
1.824	394.2
1.825	386.7
1.826	380.9
1.827	371.6
1.828	359.7
1.829	348.8
1.830	336.5
1.831	327.1
1.832	323.4
1.833	320.8
1.834	317.3
1.835	313.1
1.836	311.6
1.837	312.6
1.838	309.6
1.839	308.8
1.840	313.0
1.841	309.9
1.842	308.0
1.843	308.1
1.844	307.9
1.845	306.6
1.846	303.8
1.847	305.9
1.848	307.4
1.849	312.6
1.850	315.9
1.851	314.2
1.852	314.9
1.853	315.3
1.854	312.3
1.855	316.5
1.856	315.4
1.857	315.6
1.858	318.1
1.859	319.8
1.860	327.3
1.861	335.0
1.862	350.5
1.863	373.5
1.864	391.8
1.865	412.9
1.866	420.1
1.867	416.2
1.868	406.8
1.869	401.9
1.870	398.5
1.871	398.4
1.872	400.1
1.873	400.8
1.874	398.2
1.875	393.8
1.876	394.2
1.877	393.3
1.878	393.3
1.879	393.0
1.880	395.6
1.881	397.9
1.882	400.1
1.883	398.2
1.884	399.8
1.885	403.3
1.886	406.0
1.887	404.3
1.888	402.7
1.889	404.5
1.890	407.4
1.891	407.6
1.892	410.1
1.893	412.5
1.894	416.2
1.895	414.0
1.896	419.3
1.897	417.7
1.898	418.5
1.899	416.2
1.900	419.2
1.901	419.1
1.902	420.5
1.903	423.6
1.904	419.4
1.905	425.0
1.906	422.2
1.907	423.4
1.908	423.7
1.909	422.2
1.910	418.4
1.911	418.6
1.912	417.5
1.913	417.6
1.914	415.6
1.915	415.4
1.916	412.5
1.917	408.4
1.918	405.2
1.919	405.4
1.920	402.5
1.921	403.1
1.922	401.6
1.923	400.0
1.924	396.2
1.925	396.0
1.926	397.2
1.927	396.0
1.928	399.0
1.929	396.3
1.930	397.8
1.931	399.2
1.932	398.6
1.933	397.5
2.005	383.8
2.006	385.6
2.007	383.9
2.008	386.9
2.009	391.7
2.010	384.6
2.011	380.8
2.012	376.1
2.013	371.3
2.014	375.9
2.015	372.7
2.016	371.8
2.017	370.3
